Rk,Player,Tm,FantPos,G,PPR
1,Christian McCaffrey*+\McCaCh01,CAR,RB,16,471.2
2,Lamar Jackson*+\JackLa00,BAL,QB,15,415.7
3,Michael Thomas*+\ThomMi05,NOR,WR,16,374.6
4,Dak Prescott\PresDa01,DAL,QB,16,337.8
5,Russell Wilson*\WilsRu00,SEA,QB,16,328.6
6,Deshaun Watson*\WatsDe00,HOU,QB,15,321
7,Aaron Jones\JoneAa00,GNB,RB,16,314.8
8,Ezekiel Elliott*\ElliEz00,DAL,RB,16,311.7
9,Austin Ekeler\EkelAu00,LAC,RB,16,309
10,Jameis Winston\WinsJa00,TAM,QB,16,305.4
11,Derrick Henry*\HenrDe00,TEN,RB,15,294.6
12,Dalvin Cook*\CookDa01,MIN,RB,14,292.4
13,Josh Allen\AlleJo02,BUF,QB,16,288.6
14,Patrick Mahomes*\MahoPa00,KAN,QB,14,287
15,Kyler Murray\MurrKy00,ARI,QB,16,285.3
16,Aaron Rodgers*\RodgAa00,GNB,QB,16,278.4
17,Chris Godwin*\GodwCh00,TAM,WR,14,276.1
18,Carson Wentz\WentCa00,PHI,QB,16,275.9
19,Julio Jones*\JoneJu02,ATL,WR,15,274.1
20,Cooper Kupp\KuppCo00,LAR,WR,16,270.5
21,DeAndre Hopkins*+\HopkDe00,HOU,WR,15,268.5
22,Matt Ryan\RyanMa00,ATL,QB,15,267.3
23,Tom Brady\BradTo00,NWE,QB,16,263.7
24,Keenan Allen*\AlleKe00,LAC,WR,16,261.5
25,Leonard Fournette\FourLe00,JAX,RB,15,259.4
26,Julian Edelman\EdelJu00,NWE,WR,16,256.3
27,Nick Chubb*\ChubNi00,CLE,RB,16,255.2
28,Allen Robinson\RobiAl02,CHI,WR,16,254.9
29,Travis Kelce*\KelcTr00,KAN,TE,16,254.3
30,Alvin Kamara*\KamaAl00,NOR,RB,14,248.5
31,Kenny Golladay*\GollKe00,DET,WR,16,248
32,Jared Goff\GoffJa00,LAR,QB,16,247.5
33,Jimmy Garoppolo\GaroJi00,SFO,QB,16,247.3
34,Amari Cooper*\CoopAm00,DAL,WR,16,246.5
35,DeVante Parker\ParkDe01,MIA,WR,16,246.2
36,Derek Carr\CarrDe02,OAK,QB,16,244.4
37,Kirk Cousins*\CousKi00,MIN,QB,15,244.4
38,Saquon Barkley\BarkSa00,NYG,RB,13,244.1
39,Mark Ingram*\IngrMa01,BAL,RB,15,242.5
40,Ryan Fitzpatrick\FitzRy00,MIA,QB,15,241.5
41,Jarvis Landry*\LandJa00,CLE,WR,16,237.4
42,Philip Rivers\RivePh00,LAC,QB,16,235.5
43,Tyler Lockett\LockTy00,SEA,WR,16,235.2
44,Robert Woods\WoodRo02,LAR,WR,15,232.9
45,Mike Evans*\EvanMi00,TAM,WR,13,232.7
46,Chris Carson\CarsCh00,SEA,RB,15,232.6
47,D.J. Moore\MoorD.00,CAR,WR,15,230.5
48,Baker Mayfield\MayfBa00,CLE,QB,16,229.2
49,Gardner Minshew\MinsGa00,JAX,QB,14,229.2
50,DJ Chark*\CharDJ00,JAX,WR,15,225.8
51,Joe Mixon\MixoJo00,CIN,RB,16,225.4
52,Drew Brees*\BreeDr00,NOR,QB,11,224.8
53,Ryan Tannehill*\TannRy00,TEN,QB,12,224.2
54,Tyler Boyd\BoydTy00,CIN,WR,16,222.9
