Rk,Player,Tm,FantPos,G,PPR
1,Todd Gurley*+\GurlTo01,LAR,RB,15,383.3
2,Russell Wilson*\WilsRu00,SEA,QB,16,347.9
3,Le'Veon Bell*+\BellLe00,PIT,RB,15,341.6
4,Alvin Kamara*\KamaAl00,NOR,RB,16,320.4
5,Antonio Brown*+\BrowAn04,PIT,WR,14,310.3
6,DeAndre Hopkins*+\HopkDe00,HOU,WR,15,309.8
7,Cam Newton\NewtCa00,CAR,QB,16,299.5
8,Tom Brady*+\BradTo00,NWE,QB,16,295.9
9,Kareem Hunt*\HuntKa00,KAN,RB,16,295.2
10,Alex Smith*\SmitAl03,KAN,QB,15,295.2
11,Melvin Gordon\GordMe00,LAC,RB,16,288.1
12,Keenan Allen*\AlleKe00,LAC,WR,16,284.2
13,Carson Wentz*\WentCa00,PHI,QB,13,281.7
14,Mark Ingram*\IngrMa01,NOR,RB,16,278
15,Kirk Cousins\CousKi00,WAS,QB,16,277.6
16,Matthew Stafford\StafMa00,DET,QB,16,273.6
17,Philip Rivers*\RivePh00,LAC,QB,16,270.4
18,LeSean McCoy*\McCoLe01,BUF,RB,16,263.6
19,Drew Brees*\BreeDr00,NOR,QB,16,262.6
20,Larry Fitzgerald*\FitzLa00,ARI,WR,16,261.4
21,Ben Roethlisberger*\RoetBe00,PIT,QB,15,260.7
22,Dak Prescott\PresDa01,DAL,QB,16,260.7
23,Jarvis Landry*\LandJa00,MIA,WR,16,260
24,Michael Thomas*\ThomMi05,NOR,WR,16,258.5
25,Jared Goff*\GoffJa00,LAR,QB,15,255.3
26,Julio Jones*\JoneJu02,ATL,WR,16,251.9
27,Blake Bortles\BortBl00,JAX,QB,16,249.7
28,Tyreek Hill*\HillTy00,KAN,WR,15,245.2
29,Adam Thielen*\ThieAd00,MIN,WR,16,239.7
30,Case Keenum\KeenCa00,MIN,QB,15,237.9
31,Carlos Hyde\HydeCa00,SFO,RB,16,233.8
32,Travis Kelce*\KelcTr00,KAN,TE,15,233.5
33,Leonard Fournette\FourLe00,JAX,RB,13,230.2
34,Christian McCaffrey\McCaCh01,CAR,RB,16,228.6
35,Matt Ryan\RyanMa00,ATL,QB,16,228.1
36,Rob Gronkowski*+\GronRo00,NWE,TE,14,227.4
37,A.J. Green*\GreeA.00,CIN,WR,16,226.8
38,Marvin Jones\JoneMa02,DET,WR,16,225.1
39,Golden Tate\TateGo00,DET,WR,16,224.5
40,Doug Baldwin*\BaldDo00,SEA,WR,16,223.3
41,Tyrod Taylor\TaylTy00,BUF,QB,15,222.7
42,Davante Adams*\AdamDa01,GNB,WR,14,222.5
